numberOfStudents	time (ns)
1000	1.30000E3
2000	8.00000E2
3000	2.40000E3
4000	1.70000E3
5000	2.80000E3
6000	1.60000E3
7000	1.60000E3
8000	2.30000E3
9000	3.40000E3
10000	3.10000E3
11000	3.70000E3
12000	1.80000E3
13000	1.00000E3
14000	2.20000E3
15000	1.80000E3
16000	1.80000E3
17000	2.90000E3
18000	2.60000E3
19000	2.30000E3
20000	2.90000E3
